"Points:0","Points:1","Points:2"
-0.85617,-0.38874,0.34038
-0.82548,-0.36895,0.3269
-0.80121,-0.3533,0.31624
-0.77255,-0.36187,0.28533
-0.74569,-0.35324,0.26765
-0.71806,-0.34235,0.24982
-0.70133,-0.33273,0.21441
-0.67289,-0.3393,0.15619
-0.64373,-0.34608,0.10635
-0.6193,-0.32617,0.087966
-0.59537,-0.30458,0.080942
-0.57459,-0.28175,0.069883
-0.54375,-0.26595,0.065622
-0.52022,-0.25505,0.063962
-0.49234,-0.24002,0.061643
