"Points:0","Points:1","Points:2"
-0.80788,-0.50286,-0.30736
-0.78109,-0.47085,-0.29061
-0.76326,-0.44856,-0.26887
-0.74508,-0.42722,-0.26154
-0.73258,-0.3801,-0.24479
-0.71866,-0.35156,-0.23618
-0.72331,-0.29491,-0.18792
-0.69981,-0.27204,-0.17831
-0.68062,-0.24229,-0.16805
-0.65559,-0.22064,-0.15798
-0.62868,-0.19983,-0.15214
-0.59994,-0.18912,-0.14549
-0.57285,-0.17796,-0.13921
-0.54297,-0.16565,-0.13229
-0.51131,-0.15261,-0.12496
