"Points:0","Points:1","Points:2"
-0.29423,-0.84018,-0.45555
-0.28218,-0.77196,-0.49122
-0.24901,-0.77415,-0.4457
-0.20974,-0.75137,-0.44655
-0.19153,-0.73076,-0.42061
-0.18736,-0.71134,-0.3886
-0.17347,-0.69399,-0.3592
-0.16092,-0.67714,-0.32835
-0.15301,-0.65919,-0.29424
-0.14886,-0.64055,-0.26085
-0.12871,-0.62083,-0.24006
-0.11003,-0.59258,-0.226
-0.10368,-0.56352,-0.21654
-0.097032,-0.53314,-0.20666
-0.089894,-0.50051,-0.19604
