"Points:0","Points:1","Points:2"
0.68842,-0.372227,0.622515
0.665993,-0.355984,0.588526
0.65087,-0.33883,0.566068
0.629417,-0.312096,0.554773
0.670309,-0.286084,0.470577
0.65442,-0.271949,0.437261
0.625338,-0.277092,0.416109
0.599375,-0.273206,0.393157
0.578559,-0.27253,0.370401
0.555309,-0.264484,0.348128
0.540297,-0.254338,0.324526
0.519307,-0.242006,0.295972
0.507619,-0.232319,0.263904
0.483364,-0.219611,0.238384
0.465152,-0.207099,0.214888
