"Points:0","Points:1","Points:2"
0.846936,-0.528972,-0.0701835
0.784234,-0.545213,-0.065431
0.767451,-0.519439,-0.0449224
0.758276,-0.484548,-0.012552
0.743202,-0.4463,0.0406164
0.723249,-0.40688,0.0862694
0.696456,-0.38983,0.0970211
0.670109,-0.370633,0.113943
0.643263,-0.339357,0.144484
0.612569,-0.306177,0.181184
0.582443,-0.290268,0.183469
0.552271,-0.277539,0.185827
0.522501,-0.264979,0.188153
0.489667,-0.251127,0.190719
0.456502,-0.237135,0.19331
