"Points:0","Points:1","Points:2"
0.52375,0.77154,-0.36114
0.44933,0.78356,-0.32529
0.41487,0.77256,-0.30798
0.38943,0.75729,-0.28847
0.38369,0.72395,-0.28367
0.40449,0.6716,-0.28616
0.4003,0.63024,-0.28809
0.39313,0.60215,-0.27877
0.37722,0.5755,-0.27353
0.36101,0.54634,-0.27016
0.35224,0.50854,-0.27631
0.34031,0.47567,-0.27001
0.32383,0.4491,-0.26182
0.3076,0.42741,-0.24932
0.28957,0.40333,-0.23544
