"Points:0","Points:1","Points:2"
-0.807877,-0.502859,-0.307357
-0.762446,-0.464291,-0.351021
-0.721486,-0.42952,-0.390388
-0.684873,-0.41763,-0.399614
-0.648916,-0.411674,-0.393901
-0.629262,-0.403583,-0.367154
-0.60317,-0.39549,-0.342575
-0.593161,-0.393942,-0.281637
-0.56664,-0.398129,-0.258386
-0.534055,-0.401824,-0.231717
-0.506612,-0.391698,-0.224136
-0.475721,-0.3803,-0.215603
-0.445703,-0.369223,-0.207311
-0.417148,-0.358687,-0.199423
-0.378389,-0.340703,-0.214888
