"Points:0","Points:1","Points:2"
0.15607,-0.88514,-0.43837
0.14605,-0.81932,-0.47747
0.13059,-0.79205,-0.46199
0.11905,-0.76966,-0.44793
0.10439,-0.76125,-0.39793
0.094674,-0.73422,-0.38332
0.095729,-0.7035,-0.36353
0.055279,-0.6688,-0.37446
0.019277,-0.63836,-0.37394
0.014297,-0.61225,-0.36083
0.0084911,-0.58098,-0.35046
0.0020943,-0.54934,-0.34099
-0.0021721,-0.51994,-0.33106
-0.00097078,-0.4939,-0.31282
-0.0021017,-0.46667,-0.29609
